Metropolitan_Statistical_Area,S_0,I_0,m_b,rel_E,rel_A,k_L,k_Q,j_Q,f_A,f_H,f_R,c_A,c_I,c_H,t_0,t_delta,t_delta2,t_delta3,b,lambda_0,p_0,lambda_1,p_1,lambda_2,p_2,f_D,r
"Stockton, CA MSA",762148,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.845686394006,7.69051415218454,56.775967692303,,0.541997169105586,0.0657673648422458,0.812845186748305,2.37505860656442,0.445668113003232,,,0.513854986122495,2.97021185928
"Boise City, ID MSA",749202,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.7538414760317,21.6068638106839,56.1791580187379,,0.514121020392256,2.46354861766131,0.608922088908955,3.66106895887594,0.380858782149469,,,0.575879803118791,2.28074070634824
"Colorado Springs, CO MSA",745791,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.9588443862575,20.0031057713342,,,0.545291219453011,1.03041177970698,0.563828810915966,,,,,0.270845670265977,4.35549487023119
"Little Rock-North Little Rock-Conway, AR MSA",742384,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.3823694510603,18.4781668712165,,,0.454553603843659,7.74363120864707,0.472389679750117,,,,,0.962659512022344,2.40155641281591
"Lakeland-Winter Haven, FL MSA",724777,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.224011588975,23.9545188900261,62.3302086940485,,0.37468828099887,2.20852927574439,0.422491503758098,0.085207704189238,0.318840804737966,,,0.905994962337066,9.47944457946727
"Akron, OH MSA",703479,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,35.0625040072977,23.9362447142391,,,0.558699864033658,0.513800022483621,0.5439993585653,,,,,0.0207391137393964,7.04469225758043
"Des Moines-West Des Moines, IA MSA",699292,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.7814328715075,0.0846130721757952,,,3.3307453359526,0.285226765262392,0.896188543993129,,,,,0.0446972539438442,3.05372032588529
"Springfield, MA MSA",697382,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.2337927381762,22.4967312968426,,,0.671493078542462,0.89753504817377,0.565282196197985,,,,,0.0528354357782723,6.67646286841387
"Ogden-Clearfield, UT MSA",683864,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,37.4521151606017,26.7005737288548,37.1590908024551,,0.361828922946581,4.64649028191158,0.473018549755054,7.96933238790869,0.337450973753511,,,0.978584616201333,5.11578165739597
"Poughkeepsie-Newburgh-Middletown, NY MSA",679158,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.5962579123524,0.44121217724369,,,1.89214312730105,0.132860095146471,0.921646096979513,,,,,0.97045271617564,6.72363773771756
"Winston-Salem, NC MSA",676008,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,31.0893558460329,33.2524858728838,,,0.370156581265411,6.83022512329152,0.355525084823305,,,,,0.0745644854152176,2.24600024306679
"Deltona-Daytona Beach-Ormond Beach, FL MSA",668365,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,34.6383987283164,27.6736110611013,73.3927917659459,,0.33842554109424,0.201598395854395,0.487069092710546,0.73314143357243,0.149764520820942,,,0.549584194834566,3.26548223558289
"Madison, WI MSA",664865,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,7.85654274754973,53.9563556549203,35.7787559758178,,0.331516543407352,5.77931312827249,0.425306190429619,4.1384070467591,0.217107527999438,,,0.00919794753868319,4.07472508402339
"Syracuse, NY MSA",648593,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.4232132408939,13.3400480444133,,,1.10689965005491,9.5266961415603,0.682236014360123,,,,,0.0350617762985376,2.41862766093859
"Provo-Orem, UT MSA",648252,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.2806073996391,24.3225271618992,,,0.40008358925704,9.13341186602027,0.431229266385089,,,,,0.939460501984893,4.33690180552792
"Durham-Chapel Hill, NC MSA",644367,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.1835132389378,13.7956453109103,,,0.569240103564778,0.22149368880542,0.615767909548138,,,,,0.41687293340641,3.01975357118329
